for_profit_hotel_id,address_number,address_street,block_lot,cofu_residential,cofu_tourist,reported_residential,reported_tourist,vacant_residential,vacant_tourist,total_reported_hotel_units,auur_filing_received,aaur_sufficient
287,752,PACIFIC AV,0161 013 01,38,0,36,0,0,0,36,Yes,No
288,801,PACIFIC AV,0179 001 01,20,0,NA,NA,NA,NA,NA,No,No
289,2137,PACIFIC AV,0590 015 01,8,0,8,0,0,0,8,Yes,Yes
290,2141,PACIFIC AV,0590 014A 01,8,0,7,0,1,0,8,Yes,Yes
291,2901,PACIFIC AV,0976 001 01,16,27,9,27,7,0,43,Yes,Yes
292,1500,PAGE ST,1223 004 01,38,0,NA,NA,NA,NA,NA,No,No
293,1880,PAGE ST,1226 017 01,10,0,NA,NA,NA,NA,NA,No,No
294,1890,PAGE ST,1226 018 01,7,0,7,0,0,0,7,Yes,Yes
295,614,PINE ST,0257 009 01,40,22,37,21,3,1,62,Yes,Yes
296,899,PINE ST,0273 013 01,19,0,17,0,2,0,19,Yes,Yes
297,966,PINE ST,0254 018 01,8,0,4,0,4,0,8,Yes,No
298,1026,PINE ST,0253 007 01,21,0,19,0,2,9,21,Yes,Yes
299,1055,PINE ST,0275 009 01,59,0,81,0,0,0,81,Yes,No
300,1485,PINE ST,0668 009 01,61,2,57,0,3,2,62,Yes,Yes
301,610,POLK ST,0741 006A 01,36,48,33,46,3,2,84,Yes,Yes
302,706,POLK ST,0740 014 01,29,55,0,0,29,55,84,Yes,Yes
303,743,POLK ST,0739 001 01,19,0,19,0,0,0,19,Yes,Yes
304,1214,POLK ST,0669 011 01,66,0,NA,NA,NA,NA,NA,Yes,No
305,1255,POLK ST,0670 026 01,25,0,24,0,1,0,25,Yes,Yes
306,1544,POLK ST,0644 016 01,29,9,NA,NA,NA,NA,NA,Yes,No
307,1618,POLK ST,0621 014 01,6,0,6,0,0,0,6,Yes,Yes
308,1625,POLK ST,0622 003 01,6,0,6,0,0,0,6,Yes,Yes
309,1733,POLK ST,0619 002 01,7,0,NA,NA,NA,NA,NA,Yes,No
310,1736,POLK ST,0620 018 01,17,0,8,0,0,0,8,Yes,No
311,2048,POLK ST,0573 012 01,81,0,81,0,0,0,81,Yes,No
312,589,POST ST,0306 017 01,66,23,66,20,0,0,89,Yes,Yes
313,606,POST ST,0298 006 01,26,15,24,11,2,4,41,Yes,Yes
314,615,POST ST,0305 034 01,12,0,NA,NA,NA,NA,NA,No,No
315,629,POST ST,0305 032 01,62,0,17,0,45,0,62,Yes,No
316,641,POST ST,0305 029 01,94,0,89,0,5,0,94,Yes,Yes
317,711,POST ST,0304 018 01,70,53,58,45,12,8,123,Yes,Yes
318,775,POST ST,0304 014 01,18,0,15,0,3,0,18,Yes,Yes
319,798,POST ST,0299 010 01,6,0,6,0,0,0,6,Yes,Yes
320,908,POST ST,0301 007 01,27,0,26,0,1,0,27,Yes,Yes
321,1010,POST ST,0692 003 01,39,0,NA,NA,NA,NA,NA,No,No
322,1075,POST ST,0693 017 01,20,1,17,0,2,0,19,Yes,Yes
323,1105,POST ST,0694 001 01,19,0,NA,NA,NA,NA,NA,Yes,No
324,161,POWELL ST,0326 002 01,66,38,50,33,16,5,104,Yes,Yes
325,242,POWELL ST,0314 010 01,6,99,1,78,5,21,105,Yes,Yes
326,245,POWELL ST,0315 002 01,54,54,NA,NA,NA,NA,NA,Yes,No
327,1005,POWELL ST,0212 008 01,64,0,64,0,0,0,64,Yes,Yes
328,1362,POWELL ST,0160 017 01,25,0,NA,NA,NA,NA,NA,No,No
329,1449,POWELL ST,0148 031 01,17,0,15,0,2,0,17,Yes,Yes
330,1466,POWELL ST,0147 015A 01,83,0,85,0,2,0,83,Yes,No
331,17,ROMOLO PL,0145 022 01,25,0,20,0,5,0,25,Yes,Yes
332,45,ROSS AL,0193 021A 01,28,0,28,0,0,0,28,Yes,Yes
333,666,SACRAMENTO ST,0227 015 01,17,0,15,0,2,0,17,Yes,Yes
334,1685,SACRAMENTO ST,0644 017 01,24,14,NA,NA,NA,NA,NA,Yes,No
335,1870,SACRAMENTO ST,0623 005 01,104,0,NA,NA,NA,NA,NA,Yes,No
336,2263,SACRAMENTO ST,0638 011 01,16,0,NA,NA,NA,NA,NA,No,No
337,838,SANSOME ST,0165 010 01,61,0,41,0,1,0,41,Yes,No
338,106,SOUTH PARK AV,3775 058 01,15,9,NA,NA,NA,NA,NA,No,No
339,4,SPOFFORD AL,0210 010 01,12,0,12,0,0,0,12,Yes,Yes
340,31,SPOFFORD AL,0210 015 01,7,0,7,0,0,0,7,Yes,Yes
341,32,SPOFFORD AL,0210 023 01,8,0,8,0,0,0,8,Yes,No
342,39,SPOFFORD AL,0210 021 01,40,2,42,0,0,0,42,Yes,Yes
343,44,SPOFFORD AL,0210 045 01,8,0,8,0,0,0,8,Yes,Yes
344,48,SPOFFORD AL,0210 025 01,7,0,7,0,0,0,7,Yes,No
